"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2023","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"A1160030",47.7353337,7.3224824,666,"site",2023-09-04,"L'Ill à Brunstatt et à Didenheim et à Mulhouse",1116.71428571429,1726.84761904762,-35.3322045676402,"inf à -15%","#fdbe85","-35,3%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-35,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"A1250200",47.745487,7.232178,180,"site",2023-09-04,"La Doller à Reiningue",666,1032.3619047619,-35.4877396261921,"inf à -15%","#fdbe85","-35,5%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-35,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"A1430200",47.8414983,7.0713261,159,"site",2023-09-04,"La Thur à Willer-sur-Thur",2011.71428571429,1927.58571428571,4.36445294261557,"0 et 15%","#eff3ff","+4,4%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+4,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"A1520200",47.9110772,7.2120388,79.9,"site",2023-09-04,"La Lauch à Guebwiller",232.857142857143,354.761904761905,-34.3624161073826,"inf à -15%","#fdbe85","-34,4%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-34,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"A2140100",48.1597127,7.3697076,447,"site",2023-09-04,"La Fecht à Ostheim",1028.28571428571,1727.91428571429,-40.4897729715433,"inf à -40%","#fd8d3c","-40,5%","Débit moyen au 4 septembre 2023: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-40,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"A2350200",48.271858,7.4597365,260,"site",2023-08-31,"Le Giessen à Sélestat",213.714285714286,525.904761904762,-59.3625498007968,"inf à -40%","#fd8d3c","-59,4%","Débit moyen au 31 août 2023: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-59,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"A2860110",48.5587133,7.6369415,680,"site",2023-09-04,"La Bruche à Holtzheim et à Oberschaeffolsheim",1410.28571428571,1841.05238095238,-23.3978495736136,"inf à -15%","#fdbe85","-23,4%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-23,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"A3020090",48.9581177,8.1958142,49300,"site",2023-09-04,"Le Rhin à Lauterbourg",1513705.71428571,1202431.33516484,25.8870814505343,"sup à 15%","#c6dbef","+25,9%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+25,9%</span> par rapport à la moyenne 1990-2020 à cette période."
"A3300100",48.8223881,7.7425935,622,"site",2023-09-04,"La Moder à Schweighouse-sur-Moder [aval]",2594.14285714286,2822.92857142857,-8.10455201032348,"inf à 0%","#feedde","-8,1%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-8,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"A3480200",48.7496335,7.6336816,688,"site",2023-09-04,"La Zorn à Waltenheim-sur-Zorn",1604,2704.69047619048,-40.6956169617156,"inf à -40%","#fd8d3c","-40,7%","Débit moyen au 4 septembre 2023: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-40,7%</span> par rapport à la moyenne 1990-2020 à cette période."
