"code_station","libelle_station","libelle_reseau","date_observation","code_ecoulement","libelle_ecoulement","latitude","longitude","date_label"
"Y7920002","Le Dardo au stade de Piana","Onde OFB",2023-10-31,"1","Ecoulement visible",42.240307558747,8.65585190511525,"31 octobre 2023"
"Y8000001","La rivière de Sagone entre le ruisseau de Cesara et le ruisseau de Cammerinu","Onde OFB",2023-10-31,"1","Ecoulement visible",42.150013157175,8.72500697433451,"31 octobre 2023"
"Y7910001","Le Lonca au sentier montant à la prise d'eau","Onde OFB",2023-10-31,"1","Ecoulement visible",42.2563829890602,8.76622964044502,"31 octobre 2023"
"Y7920001","Le Chiuni à l'aval du pont de Chiuni","Onde OFB",2023-10-31,"1","Ecoulement visible",42.183614762039,8.61645324441259,"31 octobre 2023"
"Y9610001","Le Tarcu au pont de la RD 168","Onde OFB",2023-10-30,"1","Ecoulement visible",41.7490686023717,9.36898413953291,"30 octobre 2023"
"Y9710001","L'Osu au pont de l'ancienne voie ferrée","Onde OFB",2023-10-30,"1","Ecoulement visible",41.6707298903344,9.3001742617508,"30 octobre 2023"
"Y9800001","L'Orgone au bout de la piste de la carrière","Onde OFB",2023-10-30,"1","Ecoulement visible",41.5528876370592,9.15362324768176,"30 octobre 2023"
"Y9700001","Le Cavu au pont de Purcilella","Onde OFB",2023-10-30,"1","Ecoulement visible",41.7061423408483,9.33387934966765,"30 octobre 2023"
"L0220002","Ruisseau Sous-Parsat àSous-Parsat","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.0516632304989,1.97204283447721,"6 novembre 2023"
"K5143111","ruisseau de l'étang pinaud à Pierrefitte","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1462795659184,2.23543796289408,"6 novembre 2023"
"K5143113","ruisseau de Haute-Serre à Saint-Chabrais","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1313864354233,2.22679810036789,"6 novembre 2023"
"K5143112","ruisseau de rebeyrette à Saint-Chabrais","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1142456845838,2.2389313402142,"6 novembre 2023"
"K5143114","Ruisseau des Planches de Mollas à Saint-Chabrais","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1526874976661,2.20964324079703,"6 novembre 2023"
"K5183021","Le Chat-Cros à Evaux Les Bains","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1662915156945,2.46167666741488,"6 novembre 2023"
"L4200001","Ruisseau de Vigeville à Pionnat","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1260692548711,2.03039178065198,"6 novembre 2023"
"K5143115","La Voueize à Saint-Julien Le Chatel ","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1192630785757,2.25981128009723,"6 novembre 2023"
"K5150001","La Goze à Gouzon","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.203152702601,2.2490021292433,"6 novembre 2023"
"K5160002","la Verneigette à Lussat","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.2041114470341,2.34215305094205,"6 novembre 2023"
"L4010711","Ruisseau de la Maison de Tatoux à Croze","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.8296518111168,2.17463756393479,"6 novembre 2023"
"L0110001","Ruisseau de la Gane à Faux-La-Montagne","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.7911181394602,1.92113974801986,"6 novembre 2023"
"L4200002","Ruisseau de Villechaud à Pionnat","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.170854731159,1.98116732343785,"6 novembre 2023"
"L4320002","Ruisseau de la Prade à Bétête","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.3548954855302,2.06080106912609,"6 novembre 2023"
"L4310003","Ruisseau de Vige à Parsac","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1878096614374,2.13937078445572,"6 novembre 2023"
"L411 0002","Le Voutouery à SAINT-MEDARD-LA-ROCHETTE","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.029080818,2.1125969566699,"6 novembre 2023"
"L4523021","Ruisseau de La Chapelle à La Chapelle Baloue ","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.3597066353225,1.57709586136414,"6 novembre 2023"
"K5100002","La Tardes à Saint-Silvain-Bellegarde","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.9441099806613,2.29365516388923,"6 novembre 2023"
"K5100001","Ruisseau de Saint-Alvard à Basville","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.8661029068174,2.39474608462439,"6 novembre 2023"
"L4033012","Ruisseau des Vergnes à Pontcharraud","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.862407858232,2.27015219143456,"6 novembre 2023"
"L4010712","Ruisseau de Rebeyreix à Poussange","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.8380420665425,2.20469239378639,"6 novembre 2023"
"L4100711","Ruisseau de Méauze à Alleyrat","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.9791127385388,2.15967611501782,"6 novembre 2023"
"L4523022","Ruisseau de got à Fleurat","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.2373465955336,1.67040654699142,"6 novembre 2023"
"L5034011","Ruisseau de Labreuil à Aulon","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1037702957406,1.71704021905471,"6 novembre 2023"
"L5014111","Ruisseau de Maubrant à Lizières","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1961311021573,1.57710524543204,"6 novembre 2023"
"K5133011","Ruisseau de Méouse à Tardes","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.1323703335329,2.38014398095318,"6 novembre 2023"
"L4033011","Ruisseau d'Arfeuille à Moutier-Rozeille","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",45.9249927962406,2.189051965291,"6 novembre 2023"
"L4310002","Ruisseau du Verron à Ladapeyre","Onde OFB",2023-11-06,"1a","Ecoulement visible acceptable",46.2562676467959,2.03432296955763,"6 novembre 2023"
