,time,latitude,longitude,frpfire,fire_range
823076,2023-07-03T00:00:00,67.15,227.65,4.091899593979875,1-5
829536,2023-07-03T00:00:00,66.95,153.65,2.988235743555684,1-5
829537,2023-07-03T00:00:00,66.95,153.75,1.2602845825135631,1-5
829539,2023-07-03T00:00:00,66.95,153.95,15.498133751049513,10-50
829540,2023-07-03T00:00:00,66.95,154.05,6.152852778856879,5-10
833135,2023-07-03T00:00:00,66.85,153.55,2.466410594117722,1-5
833136,2023-07-03T00:00:00,66.85,153.65,5.247526397573903,5-10
833138,2023-07-03T00:00:00,66.85,153.85,1.1951479229063011,1-5
833139,2023-07-03T00:00:00,66.85,153.95,1.3722610872316672,1-5
833140,2023-07-03T00:00:00,66.85,154.05,5.476602515069111,5-10
836740,2023-07-03T00:00:00,66.75,154.05,4.017980463414329,1-5
840286,2023-07-03T00:00:00,66.65,148.65,3.7662162959435577,1-5
840287,2023-07-03T00:00:00,66.65,148.75,6.253851194877129,5-10
843887,2023-07-03T00:00:00,66.55,148.75,1.135866243937894,1-5
851178,2023-07-03T00:00:00,66.35,157.85,9.8619830135716,5-10
851179,2023-07-03T00:00:00,66.35,157.95,5.377067844208575,5-10
851180,2023-07-03T00:00:00,66.35,158.05,2.356629707139188,1-5
854779,2023-07-03T00:00:00,66.25,157.95,1.5318093096404723,1-5
872744,2023-07-03T00:00:00,65.75,154.45,6.060636833794909,5-10
872745,2023-07-03T00:00:00,65.75,154.55,5.588579019787215,5-10
876344,2023-07-03T00:00:00,65.65,154.45,1.2332052970588592,1-5
887112,2023-07-03T00:00:00,65.35,151.25,4.8896407060238865,1-5
901545,2023-07-03T00:00:00,64.95,154.55,1.5837722628103101,1-5
901547,2023-07-03T00:00:00,64.95,154.75,13.144431534229753,10-50
902347,2023-07-03T00:00:00,64.95,234.75,7.582199927317387,5-10
905147,2023-07-03T00:00:00,64.85,154.75,2.1216986090051257,1-5
905148,2023-07-03T00:00:00,64.85,154.85,2.4942217521522814,1-5
905947,2023-07-03T00:00:00,64.85,234.75,1.321030006641685,1-5
915972,2023-07-03T00:00:00,64.55,157.25,6.754452039499242,5-10
915973,2023-07-03T00:00:00,64.55,157.35,1.0114479053622212,1-5
927663,2023-07-03T00:00:00,64.25,246.35,2.42396198448602,1-5
930209,2023-07-03T00:00:00,64.15,140.95,3.480054117219513,1-5
941119,2023-07-03T00:00:00,63.85,151.95,1.154894931014173,1-5
941120,2023-07-03T00:00:00,63.85,152.05,29.62254266970764,10-50
944732,2023-07-03T00:00:00,63.75,153.25,1.431542766200078,1-5
948251,2023-07-03T00:00:00,63.65,145.15,1.534736799959898,1-5
948252,2023-07-03T00:00:00,63.65,145.25,1.9958165252697384,1-5
951943,2023-07-03T00:00:00,63.55,154.35,13.448158654870364,10-50
951944,2023-07-03T00:00:00,63.55,154.45,47.961805775761604,10-50
951949,2023-07-03T00:00:00,63.55,154.95,3.106067228912643,1-5
955534,2023-07-03T00:00:00,63.45,153.45,2.0075264865474516,1-5
955542,2023-07-03T00:00:00,63.45,154.25,3.2780572851790133,1-5
955543,2023-07-03T00:00:00,63.45,154.35,3.7749987669018417,1-5
959142,2023-07-03T00:00:00,63.35,154.25,4.2697446308851,1-5
966340,2023-07-03T00:00:00,63.15,154.05,5.883523669469543,5-10
966359,2023-07-03T00:00:00,63.15,155.95,2.734275958345343,1-5
970879,2023-07-03T00:00:00,63.05,247.95,1.6123152934247287,1-5
973451,2023-07-03T00:00:00,62.95,145.15,1.8157758706249432,1-5
973548,2023-07-03T00:00:00,62.95,154.85,2.345651618441334,1-5
973549,2023-07-03T00:00:00,62.95,154.95,7.793711102896026,5-10
973550,2023-07-03T00:00:00,62.95,155.05,2.7781883131367557,1-5
984367,2023-07-03T00:00:00,62.65,156.75,1.0780483101291978,1-5
984368,2023-07-03T00:00:00,62.65,156.85,1.5874316257095948,1-5
987863,2023-07-03T00:00:00,62.55,146.35,1.6123152934247287,1-5
987864,2023-07-03T00:00:00,62.55,146.45,1.423492167821653,1-5
1002346,2023-07-03T00:00:00,62.15,154.65,2.309789862028346,1-5
1002347,2023-07-03T00:00:00,62.15,154.75,5.892306140427824,5-10
1002349,2023-07-03T00:00:00,62.15,154.95,1.2844363776488414,1-5
1002350,2023-07-03T00:00:00,62.15,155.05,2.0646125477762887,1-5
1005949,2023-07-03T00:00:00,62.05,154.95,2.2058639556886668,1-5
1005978,2023-07-03T00:00:00,62.05,157.85,1.6576913933758561,1-5
1005979,2023-07-03T00:00:00,62.05,157.95,1.6525682853168568,1-5
1009549,2023-07-03T00:00:00,61.95,154.95,1.422760295241794,1-5
1013207,2023-07-03T00:00:00,61.85,160.75,1.351768654995677,1-5
1013261,2023-07-03T00:00:00,61.85,166.15,1.8187033609443723,1-5
1016705,2023-07-03T00:00:00,61.75,150.55,1.4278834033007932,1-5
1016808,2023-07-03T00:00:00,61.75,160.85,1.1446487148961744,1-5
1016860,2023-07-03T00:00:00,61.75,166.05,1.0290128472787856,1-5
1016861,2023-07-03T00:00:00,61.75,166.15,1.1600180390731722,1-5
1020306,2023-07-03T00:00:00,61.65,150.65,4.9547773656311485,1-5
