"id_zone","geom"
"3651","{""type"":""MultiPolygon"",""coordinates"":[[[[6.915727, 47.47825],[6.907361, 47.4729],[6.919383, 47.46822],[6.932333, 47.45583],[6.939188, 47.43371],[6.99802, 47.4515],[6.982914, 47.49427],[7.01944, 47.50414],[7.078815, 47.48907],[7.13661, 47.50826],[7.132818, 47.53921],[7.074791, 47.59886],[7.009229, 47.5994],[7.006944, 47.62643],[7.045298, 47.67039],[7.027583, 47.70538],[7.037428, 47.72157],[7.011693, 47.74164],[6.938484, 47.77084],[6.864976, 47.78462],[6.846188, 47.82296],[6.823545, 47.81307],[6.757652, 47.74789],[6.759085, 47.72282],[6.781924, 47.68715],[6.777246, 47.66601],[6.798346, 47.64401],[6.785665, 47.61137],[6.80701, 47.56281],[6.81667, 47.54793],[6.859886, 47.54756],[6.884024, 47.55518],[6.889844, 47.55009],[6.906443, 47.54549],[6.915922, 47.53041],[6.907893, 47.52708],[6.945015, 47.51335],[6.949135, 47.48571],[6.938559, 47.48652],[6.922998, 47.50017],[6.907625, 47.49456],[6.915727, 47.47825]]]]}"
"4002","{""type"":""MultiPolygon"",""coordinates"":[[[[0.6066029, 43.31091],[0.5717763, 43.31971],[0.5627916, 43.32123],[0.5078936, 43.33413],[0.4939861, 43.32513],[0.4822377, 43.33204],[0.4430328, 43.32793],[0.3957321, 43.3336],[0.3951441, 43.34989],[0.3479681, 43.34912],[0.3313443, 43.34265],[0.3113558, 43.36723],[0.3166627, 43.34371],[0.3304339, 43.32748],[0.3243973, 43.3076],[0.3057318, 43.27162],[0.3051016, 43.20982],[0.3120608, 43.19501],[0.3180602, 43.1645],[0.3512311, 43.07824],[0.3714534, 43.08699],[0.4199574, 43.10477],[0.4345864, 43.10633],[0.4643046, 43.11805],[0.4412887, 43.13116],[0.4700355, 43.15731],[0.5119651, 43.18379],[0.5173855, 43.21238],[0.5597107, 43.21094],[0.5666099, 43.25223],[0.6356236, 43.30124],[0.6066029, 43.31091]]]]}"
"4550","{""type"":""MultiPolygon"",""coordinates"":[[[[6.915727, 47.47825],[6.907361, 47.4729],[6.919383, 47.46822],[6.932333, 47.45583],[6.939188, 47.43371],[6.99802, 47.4515],[6.982914, 47.49427],[7.01944, 47.50414],[7.078815, 47.48907],[7.13661, 47.50826],[7.132818, 47.53921],[7.074791, 47.59886],[7.009229, 47.5994],[7.006944, 47.62643],[7.045298, 47.67039],[7.027583, 47.70538],[7.037428, 47.72157],[7.011693, 47.74164],[6.938484, 47.77084],[6.864976, 47.78462],[6.846188, 47.82296],[6.823545, 47.81307],[6.757652, 47.74789],[6.759085, 47.72282],[6.781924, 47.68715],[6.777246, 47.66601],[6.798346, 47.64401],[6.785665, 47.61137],[6.80701, 47.56281],[6.81667, 47.54793],[6.859886, 47.54756],[6.884024, 47.55518],[6.889844, 47.55009],[6.906443, 47.54549],[6.915922, 47.53041],[6.907893, 47.52708],[6.945015, 47.51335],[6.949135, 47.48571],[6.938559, 47.48652],[6.922998, 47.50017],[6.907625, 47.49456],[6.915727, 47.47825]]]]}"
"4582","{""type"":""MultiPolygon"",""coordinates"":[[[[6.88744, 44.36105],[6.895393, 44.41851],[6.941304, 44.42924],[6.904251, 44.46788],[6.879466, 44.47936],[6.855349, 44.53025],[6.879407, 44.5518],[6.930641, 44.57471],[6.936297, 44.59896],[6.967036, 44.62292],[6.948341, 44.65482],[6.915276, 44.65981],[6.845357, 44.61035],[6.769031, 44.58711],[6.73782, 44.55351],[6.683033, 44.53166],[6.668501, 44.5003],[6.641672, 44.48554],[6.632305, 44.44691],[6.557483, 44.446],[6.481654, 44.45403],[6.438493, 44.47212],[6.415915, 44.46913],[6.398809, 44.49416],[6.362009, 44.52208],[6.322337, 44.46407],[6.293497, 44.48093],[6.233523, 44.46375],[6.262492, 44.41225],[6.226633, 44.3814],[6.154784, 44.46211],[6.082882, 44.47695],[6.021908, 44.42225],[5.953544, 44.39502],[5.937463, 44.35991],[5.903105, 44.33585],[5.925142, 44.31339],[5.909235, 44.25229],[5.849041, 44.30066],[5.82291, 44.2729],[5.859303, 44.24542],[5.895564, 44.19058],[5.830738, 44.20043],[5.810892, 44.21076],[5.754539, 44.20983],[5.692391, 44.18627],[5.576911, 44.18814],[5.542146, 44.13327],[5.498785, 44.11572],[5.503019, 44.06371],[5.5445, 44.06967],[5.542771, 44.02435],[5.519541, 43.99395],[5.507971, 43.9578],[5.544989, 43.93905],[5.567631, 43.94264],[5.583376, 43.91591],[5.606561, 43.91608],[5.572735, 43.8635],[5.550495, 43.85087],[5.571884, 43.82934],[5.654447, 43.82511],[5.684298, 43.78945],[5.71355, 43.78112],[5.716263, 43.75694],[5.757335, 43.7294],[5.781341, 43.75565],[5.827663, 43.74767],[5.848597, 43.72163],[5.888618, 43.72636],[5.905001, 43.75278],[5.938028, 43.74859],[5.943799, 43.72565],[5.984528, 43.71449],[5.987772, 43.69542],[6.021735, 43.66828],[6.03461, 43.6927],[6.070397, 43.70494],[6.111015, 43.74566],[6.140605, 43.73761],[6.182738, 43.76217],[6.207317, 43.79528],[6.245318, 43.80241],[6.26779, 43.77855],[6.354498, 43.73651],[6.383546, 43.73443],[6.412786, 43.76225],[6.415857, 43.79004],[6.520283, 43.80692],[6.554067, 43.78343],[6.586914, 43.80532],[6.620307, 43.80472],[6.636393, 43.78895],[6.706109, 43.80849],[6.667912, 43.83061],[6.69617, 43.87491],[6.748072, 43.87185],[6.781622, 43.88355],[6.80149, 43.9103],[6.832406, 43.9182],[6.892602, 43.88997],[6.943254, 43.90069],[6.872798, 43.95334],[6.848954, 43.95509],[6.838085, 43.98981],[6.798087, 44.00536],[6.788982, 44.02128],[6.745696, 44.04283],[6.75424, 44.07652],[6.707961, 44.12438],[6.687248, 44.1683],[6.717373, 44.20864],[6.724335, 44.25088],[6.756925, 44.26224],[6.78645, 44.28876],[6.809955, 44.33028],[6.88744, 44.36105]]]]}"
"5662","{""type"":""MultiPolygon"",""coordinates"":[[[[2.197114, 49.16717],[2.195248, 49.17292],[2.047528, 49.19859],[2.001842, 49.17594],[1.974078, 49.18332],[1.885234, 49.16264],[1.826781, 49.17961],[1.737436, 49.1946],[1.713563, 49.23234],[1.674011, 49.21179],[1.658015, 49.13215],[1.633261, 49.09064],[1.653187, 49.09557],[1.72219, 49.05208],[1.735644, 49.04868],[1.751179, 49.04822],[1.828596, 49.07625],[1.865466, 49.05747],[1.851335, 49.03336],[1.858998, 49.03245],[1.86526, 49.02177],[1.90852, 49.04802],[1.937801, 49.02177],[1.991887, 49.02101],[2.015238, 49.01438],[1.999971, 49.05177],[2.010602, 49.05612],[2.046918, 49.05619],[2.074883, 49.04757],[2.092274, 49.08444],[2.199179, 49.11798],[2.197114, 49.16717]]]]}"
"5663","{""type"":""MultiPolygon"",""coordinates"":[[[[2.567966, 49.03888],[2.584723, 49.0526],[2.571483, 49.06027],[2.590529, 49.07965],[2.558175, 49.09838],[2.438909, 49.14149],[2.420805, 49.13426],[2.373594, 49.13843],[2.348446, 49.11681],[2.297399, 49.13577],[2.263974, 49.12487],[2.263252, 49.10365],[2.198673, 49.0513],[2.183104, 49.04535],[2.241518, 49.04464],[2.294405, 49.03024],[2.33119, 49.0468],[2.373862, 49.03758],[2.399574, 49.03972],[2.428393, 49.01223],[2.382449, 48.97129],[2.407389, 48.95613],[2.459488, 48.95505],[2.548863, 49.00307],[2.548431, 49.01477],[2.53542, 49.02378],[2.545183, 49.02215],[2.567966, 49.03888]]]]}"
"5664","{""type"":""MultiPolygon"",""coordinates"":[[[[2.438909, 49.14149],[2.356876, 49.14782],[2.319648, 49.18232],[2.286405, 49.15992],[2.220333, 49.15254],[2.197114, 49.16717],[2.199179, 49.11798],[2.092274, 49.08444],[2.074883, 49.04757],[2.046918, 49.05619],[2.010602, 49.05612],[1.999971, 49.05177],[2.015238, 49.01438],[2.064426, 49.00821],[2.12125, 49.01849],[2.125876, 48.98972],[2.179246, 48.9658],[2.205861, 48.94974],[2.200578, 48.90881],[2.260818, 48.94344],[2.292149, 48.9516],[2.322453, 48.95759],[2.36616, 48.97422],[2.382449, 48.97129],[2.428393, 49.01223],[2.399574, 49.03972],[2.373862, 49.03758],[2.33119, 49.0468],[2.294405, 49.03024],[2.241518, 49.04464],[2.183104, 49.04535],[2.198673, 49.0513],[2.263252, 49.10365],[2.263974, 49.12487],[2.297399, 49.13577],[2.348446, 49.11681],[2.373594, 49.13843],[2.420805, 49.13426],[2.438909, 49.14149]]],[[[1.732068, 49.05042],[1.72219, 49.05208],[1.653187, 49.09557],[1.633261, 49.09064],[1.642911, 49.08125],[1.672645, 49.0786],[1.694787, 49.05588],[1.732068, 49.05042]]]]}"
"6069","{""type"":""MultiPolygon"",""coordinates"":[[[[3.167011, 47.51196],[3.134695, 47.54263],[3.123022, 47.53943],[3.11622, 47.56924],[3.101607, 47.5881],[3.080563, 47.58549],[3.060668, 47.56951],[3.022153, 47.55626],[2.99048, 47.56858],[2.958645, 47.55739],[2.973841, 47.51134],[2.977716, 47.49791],[2.989773, 47.48431],[3.010999, 47.48383],[3.025571, 47.46139],[3.0873, 47.4745],[3.134374, 47.47279],[3.167011, 47.51196]]]]}"
"6070","{""type"":""MultiPolygon"",""coordinates"":[[[[3.655388, 46.80761],[3.629773, 46.81649],[3.615837, 46.76991],[3.631218, 46.74521],[3.659619, 46.73747],[3.701354, 46.74665],[3.738935, 46.7523],[3.76772, 46.73932],[3.794657, 46.70203],[3.808165, 46.70572],[3.839019, 46.70992],[3.934448, 46.74304],[3.993994, 46.77886],[4.046504, 46.77837],[4.062677, 46.78846],[4.058283, 46.82124],[4.042587, 46.83467],[4.100871, 46.85911],[4.069087, 46.89635],[4.038328, 46.90959],[4.028598, 46.91968],[4.030698, 46.92379],[4.009579, 46.912],[3.990505, 46.90872],[3.940674, 46.91568],[3.922267, 46.90379],[3.900955, 46.88604],[3.871794, 46.88284],[3.814711, 46.88057],[3.801158, 46.86716],[3.786596, 46.85011],[3.759383, 46.8402],[3.75493, 46.83296],[3.744133, 46.82414],[3.689089, 46.84298],[3.684921, 46.79687],[3.655388, 46.80761]]]]}"
"6071","{""type"":""MultiPolygon"",""coordinates"":[[[[3.693616, 47.1658],[3.675273, 47.16611],[3.702002, 47.14542],[3.686593, 47.12],[3.677238, 47.0964],[3.687985, 47.07113],[3.704045, 47.04971],[3.736855, 47.02313],[3.783015, 47.01491],[3.780613, 47.00684],[3.784816, 47.00116],[3.768909, 46.9916],[3.781184, 46.96194],[3.816309, 46.92014],[3.806715, 46.89777],[3.814711, 46.88057],[3.871794, 46.88284],[3.900955, 46.88604],[3.922267, 46.90379],[3.946954, 46.91667],[3.990505, 46.90872],[4.009579, 46.912],[4.01734, 46.93132],[4.003172, 46.94039],[3.997462, 46.95766],[3.990371, 46.96037],[3.982265, 46.9721],[3.944842, 46.99332],[3.944478, 47.01627],[3.908419, 47.03396],[3.898427, 47.05285],[3.924039, 47.08647],[3.920858, 47.11216],[3.876793, 47.11518],[3.874227, 47.12269],[3.860043, 47.12648],[3.867631, 47.12439],[3.853922, 47.10348],[3.841665, 47.10152],[3.779543, 47.10862],[3.769596, 47.13092],[3.760409, 47.14242],[3.715862, 47.16131],[3.693616, 47.1658]]]]}"
